Designator,Mid X,Mid Y,Rotation,Layer
C1,105.3,-150.825,270.0,bottom
C10,160.1,-187.7,0.0,top
C11,157.6,-169.7,0.0,top
C12,157.6,-173.2,0.0,top
C13,157.6,-176.7,0.0,top
C14,157.6,-180.2,0.0,top
C15,166.7,-148.8,90.0,bottom
C16,176.2,-156.3,90.0,bottom
C17,153.375,-181.7,180.0,top
C18,178.2,-160.7,90.0,bottom
C19,176.7,-160.7,270.0,bottom
C2,105.3,-153.825,270.0,bottom
C20,169.2,-160.7,270.0,bottom
C21,153.375,-180.2,180.0,top
C22,173.7,-160.7,90.0,bottom
C23,153.375,-178.7,180.0,top
C24,176.2,-152.7,270.0,bottom
C246,140.04,-181.5,0.0,bottom
C247,199.0,-140.24,90.0,bottom
C25,144.6,-143.2,180.0,top
C252,146.54,-179.8,0.0,bottom
C253,200.7,-146.74,90.0,bottom
C258,141.34,-191.275,90.0,bottom
C259,189.225,-141.54,180.0,bottom
C26,169.6,-145.8,90.0,bottom
C264,150.515,-189.9,0.0,bottom
C265,190.6,-150.715,90.0,bottom
C27,144.6,-141.7,180.0,top
C28,144.6,-140.2,180.0,top
C29,164.9,-152.5,270.0,bottom
C3,105.3,-156.825,270.0,bottom
C30,158.1,-141.2,0.0,top
C31,158.1,-144.7,0.0,top
C32,158.1,-148.2,0.0,top
C33,161.1,-120.615,0.0,top
C34,166.7,-158.4,180.0,bottom
C35,159.6,-135.2,0.0,top
C36,159.6,-129.115,0.0,top
C37,152.74,-181.0,180.0,bottom
C38,140.74,-175.8,90.0,bottom
C39,285.075,-131.0075,270.0,bottom
C4,105.3,-159.825,270.0,bottom
C40,148.74,-175.8,270.0,bottom
C41,285.075,-136.0075,90.0,bottom
C42,259.885,-161.3,270.0,top
C5,105.3,-162.825,270.0,bottom
C55,192.8,-160.3,270.0,top
C56,210.8,-157.8,270.0,top
C57,207.3,-157.8,270.0,top
C58,203.8,-157.8,270.0,top
C59,200.3,-157.8,270.0,top
C6,105.3,-165.825,270.0,bottom
C60,231.700001,-166.9,180.0,bottom
C61,224.2,-176.4,180.0,bottom
C62,198.8,-153.575,90.0,top
