Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C246, C247, C252, C253, C258, C259, C264, C265, C3, C37, C4, C5, C6, C7, C8, C82, C83, C84, C85, C86, C87, C88, C89, C9, C90, C91",0603,28,100n,
"C10, C33, C42, C55",CP_Elec_6.3x7.7,4,100u,
"C11, C12, C13, C14, C30, C31, C32, C56, C57, C58, C59, C75, C76, C77",1206,14,10u,
"C15, C16, C60, C61",0805,4,2.2u,
"C17, C21, C23, C25, C27, C28, C62, C66, C68, C70, C72, C73",0603,12,0.1u,
"C18, C63",0603,2,100p,
"C19, C64",0603,2,560p,
"C20, C65",0603,2,47n,
"C22, C67",0603,2,68n,
"C24, C69",0603,2,47p,
"C26, C29, C34, C71, C74, C79",0603,6,0.22u,
"C35, C36, C43, C44",CP_Elec_6.3x5.4,4,22u,
"C38, C40, C92, C94",0603,4,26p 16V,
"C39, C41",CP_EIA-3528-21_Kemet-B,2,10u,
"D1, D2, D3, D4",0603,4,LED,
"D5, D6",D_MELF,2,SM4001,
"H1, H2",MountingHole_8.4mm_M8_Pad_Via,2,M8,
"H3, H4, H5, H6",MountingHole_4.3mm_M4_DIN965_Pad_TopBottom,4,M4,
"J1, J6",JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,2,Conn_01x07,
"J11, J5",PinHeader_1x03_P2.54mm_Vertical,2,PWR1_DBG,
"J16, J19",TerminalBlock_Dinkle_DT-55-B01X-02_P10.00mm,2,BAT,
"J2, J7",PinHeader_1x04_P2.54mm_Vertical,2,SWD,
J3,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
"JP1, JP3",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,RST,
"JP2, JP4",SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,2,BOOT0,
"K5, K6",T9GV5L145,2,Relay_SPST-NO,
"L1, L6",L_Bourns_SRP1770TA_16.9x16.9mm,2,4.7u,
"Q1, Q15, Q16, Q17, Q18, Q19, Q2, Q20, Q3, Q4, Q5, Q6",SOT-23,12,DMG2301L,
"Q10, Q11, Q12, Q13, Q14, Q7, Q8, Q9",PQFN-8-EP_6x5mm_P1.27mm_Generic,8,IRFH5210,
"Q21, Q22",SOT-23,2,AO3400A,
"R1, R2, R3, R4, R5, R6, R77, R78, R79, R80, R81, R82",2512,12,50,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R7, R8, R83, R84, R85, R86, R87, R88, R89, R9, R90, R91, R92, R93, R94",0603,24,1k,
"R100, R101, R102, R103, R104, R105, R106, R122, R123, R124, R125, R126, R127, R128, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R46, R61, R65, R95, R96, R97, R98, R99",0603,34,10k,
"R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42",0603,24,7.87k,
"R119, R120, R58, R59",0603,4,68,
"R121, R60",0603,2,68k,
"R245, R246",0603,2,1.5M,
"R249, R252",0603,2,9.53k,
"R43, R45, R62, R64",0603,4,2.2k,
"R44, R49, R63, R68",0603,4,100k,
"R47, R66",0603,2,42.2k,
"R48, R67",0603,2,3.3k,
"R50, R69",0603,2,2.61k,
"R51, R52, R54, R56, R70, R71, R73, R75",0603,8,100,
"R53, R72",2816,2,3m,
"R55, R74",R_Shunt_Vishay_WSK2512_6332Metric_T2.21mm,2,3m,
"R57, R76",R_Shunt_Vishay_WSK2512_6332Metric_T2.21mm,2,4m,
"SW1, SW2",SW_DIP_SPSTx03_Slide_9.78x9.8mm_W8.61mm_P2.54mm,2,SW_DIP_x03,
"U1, U18, U19, U2, U20, U21, U22, U23, U3, U4, U5, U6",SMDIP-4_W9.53mm,12,LTV-817S,
"U10, U16",QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm,2,MP2984,
"U11, U17",SOT-23-5,2,INA180A1,
U12,TO-252-2,1,L7805,
"U15, U28",LQFP-48_7x7mm_P0.5mm,2,STM32F103C8Tx,
"U24, U25, U26, U7, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,6,LM2904,
"U59, U62",SOIC-8_3.9x4.9mm_P1.27mm,2,INA240A1D,
"Y1, Y2",Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm,2,8M,
