Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_EIA-3528-21_Kemet-B,2,10u,
"C10, C19, C20, C21, C22, C7, C8, C9",0805,8,2.2u,
"C11, C23, C3",0603,3,100n,
"C12, C13, C14, C24, C25, C26",CP_Elec_5x5.8,6,47u,
C15,0603,1,4.7u,
C16,0603,1,47p,
C17,0603,1,12n,
C18,0603,1,10p,
"C27, C44, C45, C46",1206,4,1uf,
"C270, C273",0603,2,0.1u,
"C271, C272, C274, C275",2220,4,22u,
C4,1206,1,1u,
"C47, C49, C51, C53",0805,4,0.47u,
"C48, C50, C52, C54",0805,4,0.68u,
C5,CP_Elec_10x10,1,10u,
C6,0603,1,2.2n,
D1,D_SMA,1,CDBA360-HF,
"D2, D3",D_SMC,2,B560C,
"H1, H2, H3, H4",MountingHole_4.3mm_M4_DIN965_Pad_TopBottom,4,M4,
"H5, H6",MountingHole_8.4mm_M8_Pad_Via,2,M8,
"J1, J9",PinHeader_2x03_P2.54mm_Vertical,2,Conn_02x03_Odd_Even,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SPK1,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SPK2,
L1,L_Bourns-SRU1028_10.0x10.0mm,1,100u,
"L2, L3, L4, L5",L_Bourns_SRP7028A_7.3x6.6mm,4,10u,
"L6, L7",L_Bourns_SRP1038C_10.0x10.0mm,2,7.2u,
R1,0603,1,68k,
"R10, R4",0603,2,53.6k,
R11,0603,1,10.2k,
"R12, R21",0603,2,243k,
R13,0603,1,16.9k,
"R14, R19",0603,2,442k,
"R15, R20",0603,2,90.9k,
"R16, R5",0603,2,12.1k,
R17,0603,1,36.5k,
R18,0603,1,11.7k,
R2,0603,1,10k,
R6,0603,1,54.9k,
R7,0603,1,2.43k,
R8,0603,1,52.3k,
R9,0603,1,73.2k,
U1,MODULE_NUCLEO-H745ZI-Q,1,NUCLEO-H745ZI-Q,
U13,VQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,TAS5825MRHB,
U2,4-inch SPI screen,1,~,
U3,TO-252-2,1,L7805,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,LM5001MA,
"U5, U6",Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,2,TPS54560BDDA,
