Designator,Mid X,Mid Y,Rotation,Layer
C1,124.86,-84.765,180.0,top
C10,73.15,-140.53,90.0,top
C11,84.75,-146.73,270.0,top
C12,223.55,-101.1,0.0,top
C13,77.45,-140.53,90.0,top
C14,88.25,-128.23,180.0,top
C2,119.9,-84.765,0.0,top
C23,217.35,-108.4,180.0,top
C26,235.85,-111.9,90.0,top
C27,89.125,-106.6,0.0,top
C270,81.4,-93.5,0.0,top
C273,81.4,-105.8,0.0,top
C28,81.4,-81.9,0.0,top
C29,81.4,-89.1,0.0,top
C3,215.9,-63.25,180.0,top
C30,82.4,-110.3,0.0,top
C31,82.4,-117.5,0.0,top
C4,214.425,-61.35,180.0,top
C44,85.9,-96.8,0.0,top
C45,85.9,-94.5,0.0,top
C46,86.0,-104.3,0.0,top
C47,78.2,-105.5,0.0,top
C48,61.8,-108.0,0.0,top
C49,74.2,-101.0,180.0,top
C5,218.2,-80.1,180.0,top
C50,61.8,-106.0,0.0,top
C51,78.2,-94.4,0.0,top
C52,61.8,-91.9,0.0,top
C53,74.2,-99.0,180.0,top
C54,61.8,-93.9,0.0,top
C6,217.1,-73.075,270.0,top
C7,223.55,-89.6,0.0,top
C8,65.95,-140.53,90.0,top
C9,223.55,-96.8,0.0,top
D1,224.5,-77.0,90.0,top
D2,219.05,-104.0,270.0,top
D3,80.35,-145.03,0.0,top
J1,182.525,-145.025,270.0,top
J3,55.625,-105.75,270.0,top
J4,55.625,-91.65,270.0,top
J9,238.725,-97.475,0.0,top
L1,224.5,-67.3,270.0,top
L2,68.0,-110.6,180.0,top
L3,68.0,-103.5,180.0,top
L4,68.0,-89.3,180.0,top
L5,68.0,-96.4,180.0,top
L6,92.25,-140.18,90.0,top
L7,223.9,-115.9,0.0,top
R1,158.6,-73.5,0.0,top
R10,84.175,-136.83,0.0,top
R11,81.15,-136.83,0.0,top
R17,227.220585,-107.749416,270.0,top
R18,227.220585,-104.749416,270.0,top
R2,161.6,-73.5,0.0,top
R4,219.4,-74.2,0.0,top
R5,219.4,-75.7,180.0,top
R6,215.6,-76.1,270.0,top
R7,214.1,-76.1,90.0,top
R8,213.0,-67.8,270.0,top
R9,217.1,-76.1,90.0,top
U1,150.0,-100.0,270.0,bottom
U13,80.4,-100.0,90.0,top
U2,155.0,-100.0,180.0,top
U3,122.4,-78.4,270.0,top
U4,216.5,-67.8,270.0,top
U5,223.55,-105.55,90.0,top
U6,81.9,-140.53,180.0,top
